Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,60500,Semnr Ethnogr Analysis,202320,Spring 2023,1,17491,"Flachs, Andrew T.",87.50%,,,,,,,,,,,,,,,,,,,,,,,6.30%,,,6.30%
ARAB,ARAB-Arabic,10200,Std Arabic Level II,202320,Spring 2023,5,63522,"Guerwane, Lhousseine N.",,9.10%,27.30%,18.20%,,9.10%,18.20%,,,,,,,,,,,,9.10%,,,,,9.10%,,,
ASAM,ASAM-Asian American Studies,34000,Asian American Pop Cult,202320,Spring 2023,1,10691,"Trieu, Monica M.",36.40%,27.30%,18.20%,,,9.10%,,,,,,,,,,,,,,,,,,9.10%,,,
ASEC,ASEC-Agric Sciences Educ &Comm,24000,Sem Agricultural Educ,202320,Spring 2023,SC1,28608,"Conrad, Amy K.",70.60%,5.90%,,,5.90%,5.90%,,,5.90%,,,,,,,5.90%,,,,,,,,,,,
,,28500,Intro To Publication Design,202320,Spring 2023,1,12478,"Tucker, Mark A.",6.70%,40.00%,,,6.70%,20.00%,20.00%,6.70%,,,,,,,,,,,,,,,,,,,
,,30100,Building Intercultural Partner,202320,Spring 2023,1,17535,"Bello Bravo, Maria J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31800,Coord Spvd Agr Exp Pro,202320,Spring 2023,1,13149,"Talbert, Brian A.",33.30%,33.30%,8.30%,,16.70%,,8.30%,,,,,,,,,,,,,,,,,,,,
,,34100,Curric Devel Ag Ed,202320,Spring 2023,1,13134,"LaRose, Sarah E.",5.90%,17.60%,,,17.60%,17.60%,29.40%,,,5.90%,,,,,5.90%,,,,,,,,,,,,
,,55100,Intrnl Engagement & Dev Strat,202320,Spring 2023,1,23860,"Burniske, Gary R.",63.60%,,,,,,27.30%,,,,,,,,,,,,,,,,,9.10%,,,
,,58500,Science Communication,202320,Spring 2023,1,13797,"Pfeiffer, Linda J.",28.60%,50.00%,,,7.10%,,,,7.10%,,7.10%,,,,,,,,,,,,,,,,
ASL,ASL-American Sign Language,10100,American Sign Lang I,202320,Spring 2023,1,18382,"Shay, Robin A.",22.20%,27.80%,11.10%,,,5.60%,11.10%,,5.60%,,,,,,,,,,5.60%,,,,,11.10%,,,
,,,,,,Y01,25649,"Mowl, Rita M.",37.50%,6.30%,6.30%,,,12.50%,31.30%,6.30%,,,,,,,,,,,,,,,,,,,
,,,,,,Y02,25650,"Mowl, Rita M.",23.50%,17.60%,5.90%,,11.80%,5.90%,11.80%,,,5.90%,5.90%,,,,,,,,,,,,,11.80%,,,
,,10200,American Sign Lang II,202320,Spring 2023,3,14418,"Barrett, Michael A.",22.20%,27.80%,5.60%,,5.60%,16.70%,16.70%,,,,,,,,,5.60%,,,,,,,,,,,
,,,,,,4,14419,"Barrett, Michael A.",33.30%,33.30%,,,11.10%,5.60%,5.60%,,,,5.60%,,5.60%,,,,,,,,,,,,,,
,,,,,,5,10724,"Barrett, Michael A.",31.30%,12.50%,,,6.30%,18.80%,18.80%,,,6.30%,,,6.30%,,,,,,,,,,,,,,
,,,,,,6,18383,"Ovesen, Dawn R.",6.70%,6.70%,,,6.70%,6.70%,6.70%,,,13.30%,,,13.30%,,6.70%,,,,,,,,,33.30%,,,
,,,,,,7,18384,"Ovesen, Dawn R.",26.70%,13.30%,,,20.00%,,13.30%,6.70%,,,,6.70%,13.30%,,,,,,,,,,,,,,
,,20100,American Sign Lang III,202320,Spring 2023,1,11099,"Borkowski, Sharon L.",27.80%,22.20%,5.60%,,11.10%,11.10%,22.20%,,,,,,,,,,,,,,,,,,,,
,,,,,,5,65243,"Borkowski, Sharon L.",56.30%,12.50%,18.80%,,6.30%,,6.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,6,10730,"Borkowski, Sharon L.",17.60%,11.80%,41.20%,,5.90%,5.90%,,11.80%,,,,,,,,,,,,,,,,5.90%,,,
,,20200,American Sign Lang IV,202320,Spring 2023,3,11106,"Shay, Robin A.",31.30%,25.00%,,,12.50%,6.30%,18.80%,,6.30%,,,,,,,,,,,,,,,,,,
,,,,,,5,13531,"Shay, Robin A.",20.00%,33.30%,13.30%,,20.00%,,,,,6.70%,,,,,,,,,,,,,,6.70%,,,
,,,,,,6,18385,"Shay, Robin A.",14.30%,28.60%,,,21.40%,,21.40%,,,,,,,,,,,,,,,,,14.30%,,,
,,28000,"Amer Deaf:Lng, Cul,Soc",202320,Spring 2023,1,10738,"Borkowski, Sharon L.",25.50%,29.60%,6.10%,,13.30%,3.10%,12.20%,3.10%,,1.00%,1.00%,2.00%,,,1.00%,1.00%,,,,,,,,1.00%,,,
,,,"Amer Deaf:Lng, Cul,Soc-Honors",202320,Spring 2023,1,10738,"Borkowski, Sharon L.",,50.00%,50.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,30200,ASL Advanced-Level VI,202320,Spring 2023,1,26065,"Barrett, Michael A.",58.30%,33.30%,,,,8.30%,,,,,,,,,,,,,,,,,,,,,
,,36200,Structure Of ASL II,202320,Spring 2023,1,24841,"Multra Kraft, Christine M.",58.30%,25.00%,,,,8.30%,,,,,,,,,,8.30%,,,,,,,,,,,
ASM,ASM-Agricultural Systems Mgmt,10400,Intro To Agri Systems,202320,Spring 2023,3,20120,"Ehlers, Shawn G.",34.40%,15.60%,,,28.10%,,6.30%,3.10%,6.30%,3.10%,,,,,3.10%,,,,,,,,,,,,
,,10500,Computing Tech Applications,202320,Spring 2023,3,43745,"Buckmaster, Dennis R.",33.30%,3.90%,15.70%,,3.90%,5.90%,13.70%,2.00%,3.90%,3.90%,2.00%,2.00%,3.90%,,3.90%,,,,,,,,,2.00%,,,
,,21600,Introduction To Surveying,202320,Spring 2023,2,19583,"Zhang, Wanting",40.00%,,56.00%,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,24500,Materials Hand & Proc,202320,Spring 2023,1,11119,"Ehlers, Shawn G.",45.20%,29.00%,,,6.50%,,12.90%,,,6.50%,,,,,,,,,,,,,,,,,
,,33300,Facilities Plan & Mgmt,202320,Spring 2023,1,11126,"Harlow, Stanley D.",43.50%,13.00%,8.70%,,17.40%,,4.30%,,4.30%,4.30%,,,,,,,,,4.30%,,,,,,,,
,,34500,Power Unit Power Train,202320,Spring 2023,1,27709,"Stwalley, Robert M.",38.10%,,9.50%,,47.60%,,,4.80%,,,,,,,,,,,,,,,,,,,
,,35000,Safety In Agriculture,202320,Spring 2023,1,11128,"Field, William E.",57.10%,25.00%,,,,,17.90%,,,,,,,,,,,,,,,,,,,,
,,42000,Elect Power & Controls,202320,Spring 2023,1,16342,"Ileleji, Klein",26.70%,20.00%,23.30%,,3.30%,10.00%,10.00%,,,6.70%,,,,,,,,,,,,,,,,,
,,49500,Capstone Project,202320,Spring 2023,2,21047,"Lumkes, John H.",22.20%,27.80%,5.60%,,,,16.70%,11.10%,11.10%,,,5.60%,,,,,,,,,,,,,,,
ASTR,ASTR-Astronomy,26400,Dscr Astr-Star & Galxs,202320,Spring 2023,1,11146,"Austin, Robert A.",29.20%,16.90%,23.80%,,6.20%,3.10%,7.70%,1.50%,0.80%,3.10%,1.50%,0.80%,1.50%,,2.30%,,,,0.80%,,,,,0.80%,,,
,,36400,Stars And Galaxies,202320,Spring 2023,1,11159,"Milisavljevic, Danny",8.10%,16.20%,9.50%,,8.10%,16.20%,13.50%,5.40%,6.80%,2.70%,1.40%,2.70%,1.40%,,2.70%,,,,1.40%,,,,,4.10%,,,
,,56000,Stellar Evolution,202320,Spring 2023,1,59280,"Lee, Kyoung-Soo",30.80%,15.40%,30.80%,,,,,15.40%,,,,,,,7.70%,,,,,,,,,,,,
AT,AT-Aviation Technology,10000,Intro Aviation Tech,202320,Spring 2023,1,11468,"Cutter, Jason E.",11.10%,2.20%,71.10%,,2.20%,,4.40%,2.20%,,2.20%,,,,,2.20%,,,,,,,,,2.20%,,,
,,10200,Aviation Business,202320,Spring 2023,1,57134,"Wang, Sen",71.20%,,,,27.30%,,,1.50%,,,,,,,,,,,,,,,,,,,
,,10300,Aero Veh Prop & Track Sys,202320,Spring 2023,1,57135,"Ziulkowski, Jonathon D.",80.30%,,,,5.30%,,,7.60%,,,3.80%,,,,3.00%,,,,,,,,,,,,
,,10600,Basic Aircraft Science,202320,Spring 2023,1,13707,"Ziulkowski, Jonathon D.",35.70%,,,,19.00%,,,26.20%,,,7.10%,,,,9.50%,,,,2.40%,,,,,,,,
,,11600,Aircraft Science For Eng Tech,202320,Spring 2023,1,24598,"Mitchell, George G.",28.60%,,,,28.60%,,,42.90%,,,,,,,,,,,,,,,,,,,
,,11901,UAS Safety And Risk Management,202320,Spring 2023,3,20431,"Rose, Nathan T.",21.40%,35.70%,,,14.30%,10.70%,17.90%,,,,,,,,,,,,,,,,,,,,
,,12700,Publications Records And Regs,202320,Spring 2023,1,24764,"Gouwens, David W.",54.80%,,,,29.00%,,,12.90%,,,,,,,,,,,3.20%,,,,,,,,
,,14400,Private Pilot Lectures,202320,Spring 2023,1,13568,"Flores, Abner D.",17.10%,22.90%,45.70%,,,8.60%,,,2.90%,,,,,,,,,,2.90%,,,,,,,,
,,14500,Private Pilot Flight,202320,Spring 2023,1,27312,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,8.30%,91.70%,,,,,,,
,,20200,Aero Veh Sys Dsgn Analy & Ops,202320,Spring 2023,1,63277,"Flores, Abner D.",35.00%,8.30%,45.00%,,1.70%,1.70%,8.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,16148,"Ziulkowski, Jonathon D.",65.20%,,,,14.50%,,,11.60%,,,5.80%,,,,2.90%,,,,,,,,,,,,
,,20300,Aviation Operations Management,202320,Spring 2023,1,63339,"Marete, Caroline K.",21.20%,4.50%,68.20%,,3.00%,,,1.50%,1.50%,,,,,,,,,,,,,,,,,,
,,,,,,2,16139,"Karanki, Fecri",8.80%,11.80%,29.40%,,14.70%,8.80%,11.80%,2.90%,2.90%,8.80%,,,,,,,,,,,,,,,,,
,,20501,Statics For Aerostructures,202320,Spring 2023,3,69280,"Dubikovsky, Sergey I.",17.60%,,,,14.70%,,,38.20%,,,8.80%,,,,20.60%,,,,,,,,,,,,
,,20700,Intro Aircraft Systems,202320,Spring 2023,3,13854,"Mitchell, George G.",39.50%,,,,44.70%,,,15.80%,,,,,,,,,,,,,,,,,,,
,,,,,,7,16126,"Mitchell, George G.",57.10%,,,,42.90%,,,,,,,,,,,,,,,,,,,,,,
,,20802,Aircraft Materials,202320,Spring 2023,1,12091,"Habig, Ashley E.",23.10%,,,,57.70%,,,7.70%,,,,,,,7.70%,,,,,,,,,3.80%,,,
,,,,,,8,16133,"Habig, Ashley E.",37.80%,,,,51.40%,,,5.40%,,,,,,,2.70%,,,,2.70%,,,,,,,,
,,21000,Ground Trainer I,202320,Spring 2023,45,11877,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,93.60%,6.40%,,,,,,,
,,21100,Ground Trainer II,202320,Spring 2023,75,14416,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,96.80%,2.10%,,,,1.10%,,,
,,21900,"UAS Design, Build, Test",202320,Spring 2023,3,14343,"Rose, Nathan T.",20.00%,20.00%,15.00%,,,15.00%,5.00%,5.00%,5.00%,,,10.00%,,,5.00%,,,,,,,,,,,,
,,22300,Human Factors Flight Crew,202320,Spring 2023,1,63340,"Flores, Abner D.",31.00%,20.70%,44.80%,,3.40%,,,,,,,,,,,,,,,,,,,,,,
,,24302,Comm Flight I Fed Aviatn Reg,202320,Spring 2023,1,27248,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,40.40%,59.60%,,,,,,,
,,24900,Instrumt Flt Lectures,202320,Spring 2023,1,11486,"Henneberry, Debra",23.60%,18.20%,23.60%,1.80%,3.60%,9.10%,7.30%,3.60%,,1.80%,,,,,,1.80%,,,,,,,,5.50%,,,
,,25302,Instrumnt Flight Fed AviatnReg,202320,Spring 2023,15,11443,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,17.90%,81.00%,,,,1.20%,,,
,,25400,Commercial Flt Lecture,202320,Spring 2023,1,11577,"Henneberry, Debra",35.70%,7.10%,45.70%,,,,5.70%,,1.40%,1.40%,,,,,,,,,,,,,,2.90%,,,
,,,,,,2,26750,"Henneberry, Debra",19.20%,11.50%,53.80%,,,1.90%,7.70%,,,1.90%,1.90%,,,,1.90%,,,,,,,,,,,,
,,26200,Bsc Aircrft Pwrplt Tch,202320,Spring 2023,2,16199,"Wang, Peng Hao",97.10%,,,,,,,2.90%,,,,,,,,,,,,,,,,,,,
,,26502,Aircraft Electrical Systems,202320,Spring 2023,2,12134,"Barnes, Donald K.",76.00%,,,,24.00%,,,,,,,,,,,,,,,,,,,,,,
,,26700,Fixed & Rotry Wng Assy,202320,Spring 2023,1,21317,"Thom, James M.",63.60%,,,,34.10%,,,2.30%,,,,,,,,,,,,,,,,,,,
,,27200,Intro To Compst Tech,202320,Spring 2023,1,13541,"Sterkenburg, Ronald",50.00%,,,,35.00%,,,12.50%,,,,,,,,,,,,,,,,2.50%,,,
,,27800,Nondestruc Test Aircft,202320,Spring 2023,1,11590,"Hagovsky, Thomas C.",95.70%,,,,,,,,,,,,,,,,,,4.30%,,,,,,,,
,,29000,Career Resource Seminar,202320,Spring 2023,1,30151,"Gilbert, Vicki L.",4.20%,4.20%,83.30%,,4.20%,,,,,,,,,,,,,,,,,,,4.20%,,,
,,30702,Advanced Aircraft Systems,202320,Spring 2023,3,13962,"Pullen, Keegan C.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30802,Aircraft Materials Processes,202320,Spring 2023,2,69627,"Dubikovsky, Sergey I.",32.10%,,,,35.70%,,,17.90%,,,3.60%,,,,7.10%,3.60%,,,,,,,,,,,
,,31900,"UAS Apps, Data And Doc",202320,Spring 2023,3,14867,"Hupy, Joseph P.",23.50%,23.50%,,,11.80%,11.80%,5.90%,,5.90%,5.90%,,,,,11.80%,,,,,,,,,,,,
,,32001,Advanced Aviation Operations,202320,Spring 2023,1,16352,"Habig, Ashley E.",90.50%,,,,4.80%,,,,,,,,,,,,,,,,,,,4.80%,,,
,,32501,Advanced Aviation Meteorology,202320,Spring 2023,1,69927,"Rose, Nathan T.",11.10%,28.90%,6.70%,,4.40%,15.60%,15.60%,2.20%,,6.70%,,,,,4.40%,,,,,,,,,4.40%,,,
,,32700,Adv Transprt Flight Op,202320,Spring 2023,1,11624,"Keller, Julius C.",69.20%,,,,21.20%,,,3.80%,,,3.80%,,,,,,,,,,,,,1.90%,,,
,,33502,Avionics Systems,202320,Spring 2023,1,69861,"Barnes, Donald K.",89.50%,1.80%,,,7.00%,,,1.80%,,,,,,,,,,,,,,,,,,,
,,,Avionics Systems-Honors,202320,Spring 2023,1,69861,"Barnes, Donald K.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33800,Airline Management,202320,Spring 2023,1,20125,"Gao, Yi",51.10%,,,,46.80%,,,2.10%,,,,,,,,,,,,,,,,,,,
,,34001,Aerospace Business Statistics,202320,Spring 2023,1,16551,"Bilotkach, Volodymyr",22.20%,22.20%,5.60%,,16.70%,11.10%,11.10%,5.60%,,,5.60%,,,,,,,,,,,,,,,,
,,35200,Flight Instr Lectures,202320,Spring 2023,1,11628,"Dillman, Brian G.",80.60%,,,,3.20%,,,9.70%,,,6.50%,,,,,,,,,,,,,,,,
,,35300,Multi Engine Flight,202320,Spring 2023,11,14577,"Duran Trinidad, Lucero",,,,,,,,,,,,,,,,,,,29.30%,70.70%,,,,,,,
,,35400,Turbine Flight Ops Lect,202320,Spring 2023,1,28210,"Cutter, Jason E.",31.70%,7.30%,36.60%,,4.90%,2.40%,12.20%,,,,,,,,,2.40%,,,,,,,,2.40%,,,
,,35900,Airport Management,202320,Spring 2023,1,11178,"Bilotkach, Volodymyr",21.70%,17.40%,1.40%,,26.10%,4.30%,18.80%,4.30%,,1.40%,1.40%,,,,,1.40%,,,,,,,,1.40%,,,
,,36302,Fundamentals Of Powerplant Sys,202320,Spring 2023,2,17285,"Yother, Tracy L.",65.50%,,,,27.60%,,,6.90%,,,,,,,,,,,,,,,,,,,
,,37200,Aircraft Maint Pract,202320,Spring 2023,1,11703,"Gouwens, David W.",47.80%,,,,39.10%,,,13.00%,,,,,,,,,,,,,,,,,,,
,,37600,Arcr Gas Trb Eng Tch I,202320,Spring 2023,2,23011,"Davis, John M.",72.20%,,,,20.40%,,,7.40%,,,,,,,,,,,,,,,,,,,
,,38100,Aviation Security,202320,Spring 2023,1,11709,"Lu, Chien-Tsung",69.20%,2.60%,,,23.10%,,,5.10%,,,,,,,,,,,,,,,,,,,
,,38500,Design Support Anlysis,202320,Spring 2023,1,14595,"Thom, James M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38800,Large Aircraft Systems,202320,Spring 2023,1,57139,"Ziakkas, Dimitrios",34.60%,26.90%,3.80%,,11.50%,1.90%,17.30%,,,3.80%,,,,,,,,,,,,,,,,,
,,40300,Airman Certif Proced,202320,Spring 2023,1,11722,"Hagovsky, Thomas C.",73.50%,,,,14.70%,,,5.90%,,,2.90%,,,,,,,,,,,,,2.90%,,,
,,41200,Aviation Finance,202320,Spring 2023,1,26648,"Lu, Chien-Tsung",31.60%,,,,15.80%,,21.10%,5.30%,15.80%,5.30%,,,,,5.30%,,,,,,,,,,,,
,,41600,Airline Indoctrination,202320,Spring 2023,1,58146,"Strickland, Paul B.",2.80%,1.40%,94.40%,,,,,,1.40%,,,,,,,,,,,,,,,,,,
,,41901,UAS Capstone,202320,Spring 2023,2,15436,"Hupy, Joseph P.",27.30%,18.20%,,,,18.20%,9.10%,9.10%,,9.10%,9.10%,,,,,,,,,,,,,,,,
,,42101,Managerial Econ In Aviation,202320,Spring 2023,1,13922,"Bilotkach, Volodymyr",47.50%,,,,44.10%,,,8.50%,,,,,,,,,,,,,,,,,,,
,,,,,,2,16553,"Marete, Caroline K.",95.00%,,,,5.00%,,,,,,,,,,,,,,,,,,,,,,
,,43500,Supervised Instructional Exp,202320,Spring 2023,1,11734,"Davis, John M.",90.90%,,4.50%,,4.50%,,,,,,,,,,,,,,,,,,,,,,
,,44502,Aircraft Electronics,202320,Spring 2023,1,13989,"Lercel, Damon J.",68.40%,,,,21.10%,,,10.50%,,,,,,,,,,,,,,,,,,,
,,45900,Airport Manager Certif,202320,Spring 2023,1,11741,"Baxmeyer, Adam W.",90.50%,,,,,,,4.80%,,,,,,,4.80%,,,,,,,,,,,,
,,47200,Adv Composite Tech,202320,Spring 2023,1,13917,"Kim, Garam",44.10%,,,,50.00%,,,5.90%,,,,,,,,,,,,,,,,,,,
,,47500,Aviation Law,202320,Spring 2023,1,11765,"Suckow, Michael W.",62.50%,,,,28.10%,,,4.70%,,,3.10%,,,,,,,,,,,,,1.60%,,,
,,,,,,2,16546,"Patankar, Manoj S.",70.60%,,,,26.50%,,,2.90%,,,,,,,,,,,,,,,,,,,
,,47600,Arcr Gas Trb En Tch II,202320,Spring 2023,1,11766,"Davis, John M.",45.80%,,,,16.70%,,,20.80%,,,12.50%,,,,,,,,,,,,,4.20%,,,
,,48700,Transport Aircraft Sim Lab,202320,Spring 2023,8,28683,"Strickland, Paul B.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,,,,,22,28697,"Strickland, Paul B.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,49200,Aircrft Airworth Assur,202320,Spring 2023,1,24929,"Ropp, Timothy D.",96.90%,,,,,,,,,,,,,,,,,,,,,,,3.10%,,,
,,49401,Capstone Project Proposal,202320,Spring 2023,2,24915,"Suckow, Michael W.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49501,Applied Capstone Res Proj,202320,Spring 2023,1,26913,"Suckow, Michael W.",95.70%,,,,4.30%,,,,,,,,,,,,,,,,,,,,,,
,,49700,Applied Resrch Project,202320,Spring 2023,1,11782,"Ropp, Timothy D.",93.50%,,,,,,,3.20%,,,,,,,,,,,,,,,,3.20%,,,
,,49800,Aviation Technology Capstone,202320,Spring 2023,2,64283,"Chou, Tzu-Chun",56.10%,9.80%,,,29.30%,,,4.90%,,,,,,,,,,,,,,,,,,,
,,,Aviation Tech Capstone -Honors,202320,Spring 2023,2,64283,"Chou, Tzu-Chun",,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,,50700,Quant Eval In Transportation,202320,Spring 2023,1,21001,"Karanki, Fecri",42.90%,14.30%,28.60%,,,,7.10%,,,,,,,,,,,,,,,,,7.10%,,,
,,52800,Mgmt & Dsgn Of Training Syst,202320,Spring 2023,2,20463,"Lercel, Damon J.",72.70%,,,,18.20%,,,9.10%,,,,,,,,,,,,,,,,,,,
,,53200,Transportation Security,202320,Spring 2023,1,16560,"Schreckengast, Stewart W.",82.40%,,,,,,17.60%,,,,,,,,,,,,,,,,,,,,
,,54700,Airline Rev Mgt,202320,Spring 2023,1,22530,"Gao, Yi",63.30%,,,,33.30%,,,,,,3.30%,,,,,,,,,,,,,,,,
,,54900,Aircraft Leasing,202320,Spring 2023,1,28376,"Bilotkach, Volodymyr",27.80%,22.20%,5.60%,,5.60%,,38.90%,,,,,,,,,,,,,,,,,,,,
,,64000,Aviation & Aero Sustainability,202320,Spring 2023,1,16184,"Johnson, Mary E.",57.90%,5.30%,10.50%,,15.80%,,10.50%,,,,,,,,,,,,,,,,,,,,
BAND,BAND-Bands,11000,Marching Band,202320,Spring 2023,1,22325,"Conaway, Matthew R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,D01,11793,"Nave, Pamela J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,G01,15908,"Conaway, Matthew R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,T01,15907,"Conaway, Matthew R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11100,Symphony Orchestra,202320,Spring 2023,2,11165,"Bodony, Adam M.",94.50%,,,,1.10%,,,1.10%,,,1.10%,,,,2.20%,,,,,,,,,,,,
,,,,,,3,26915,"Parthun, Jeffrey T.",98.80%,,,,,,,1.20%,,,,,,,,,,,,,,,,,,,
,,,,,,4,26195,"Bodony, Adam M.",94.00%,,,1.20%,3.60%,,,,,,,,,,,,,,,,,,,1.20%,,,
,,,Symphony Orchestra-Honors,202320,Spring 2023,2,11165,"Bodony, Adam M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11200,American Music Review,202320,Spring 2023,1,11798,"Trout, Marion T.",3.20%,,96.80%,,,,,,,,,,,,,,,,,,,,,,,,
,,11300,Jazz Ensemble,202320,Spring 2023,1,11799,"Trout, Marion T.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,17983,"Harris, Jarrard L.",53.60%,,46.40%,,,,,,,,,,,,,,,,,,,,,,,,
,,11400,Basic Jazz,202320,Spring 2023,5,17142,"Trout, Marion T.",3.70%,,88.90%,,,,,,,,,,,,,,,,,,,,,7.40%,,,
,,,,,,11,27174,"Harris, Jarrard L.",87.50%,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,13,27176,"Harris, Jarrard L.",91.40%,,5.70%,,,,,,,,,,,,,,,,,,,,,2.90%,,,
,,11600,Symphonic Band,202320,Spring 2023,1,11805,"Conaway, Matthew R.",98.30%,,1.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,11700,Concert Band,202320,Spring 2023,1,11806,"Sweet, Jonathan C.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concert Band-Honors,202320,Spring 2023,1,11806,"Sweet, Jonathan C.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11800,Collegiate Band,202320,Spring 2023,2,46428,"Blon, David M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Collegiate Band-Honors,202320,Spring 2023,2,46428,"Blon, David M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11900,Varsity Band,202320,Spring 2023,3,11174,"Fletcher, Douglas R.",97.80%,,,,,,,,,,,,,,1.10%,,1.10%,,,,,,,,,,
,,,,,,4,27178,"Fletcher, Douglas R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,27179,"Blon, David M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35000,Wind Ensemble I,202320,Spring 2023,1,45083,"Gephart, Jay S.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
BCHM,BCHM-Biochemistry,10000,Intro Biochemistry,202320,Spring 2023,1,69467,"Weake, Vikki M.",43.60%,,,,17.90%,,,12.80%,,,5.10%,,,,10.30%,,,,,,,,,10.30%,,,
,,10100,Intro Biochem Lab,202320,Spring 2023,1,23102,"Weake, Vikki M.",83.30%,,,,16.70%,,,,,,,,,,,,,,,,,,,,,,
,,22100,Anly Biochemistry,202320,Spring 2023,1,11811,"Kirchmaier, Ann L.",20.80%,,,,45.80%,,,25.00%,,,,,,,4.20%,,,,,,,,,4.20%,,,
,,29000,Experimental Design Seminar,202320,Spring 2023,1,54185,"Dilkes, Brian P.",98.00%,,,,2.00%,,,,,,,,,,,,,,,,,,,,,,
,,30700,Biochemistry,202320,Spring 2023,3,14588,"Hart, Orla M.",83.50%,,,,13.90%,,,1.30%,,,0.90%,,,,,,,,,,,,,0.40%,,,
,,,Biochemistry-Honors,202320,Spring 2023,3,14588,"Hart, Orla M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30900,Biochemistry Lab,202320,Spring 2023,5,11819,"Hart, Orla M.",25.00%,,,,35.00%,,,30.00%,,,10.00%,,,,,,,,,,,,,,,,
,,,,,,6,11820,"Hart, Orla M.",7.70%,,,,46.20%,,,38.50%,,,,,,,7.70%,,,,,,,,,,,,
,,,,,,7,43400,"Hart, Orla M.",16.70%,,,,58.30%,,,25.00%,,,,,,,,,,,,,,,,,,,
,,32200,Analytical Biochemistry II,202320,Spring 2023,4,11181,"Hall, Mark C.",33.30%,,,,19.00%,9.50%,9.50%,4.80%,4.80%,9.50%,4.80%,,,,,,,,,,,,,4.80%,,,
,,36100,Molecules,202320,Spring 2023,1,11183,"Lohman, Jeremy R.",36.40%,15.90%,,,6.80%,4.50%,15.90%,4.50%,9.10%,2.30%,,,,,2.30%,,,,,,,,,2.30%,,,
,,43400,Medical Topics In Biochem,202320,Spring 2023,1,12998,"Forney, James D.",37.00%,2.20%,,,19.60%,4.30%,2.20%,15.20%,4.30%,8.70%,6.50%,,,,,,,,,,,,,,,,
,,46500,Biochemistry Of Life Processes,202320,Spring 2023,1,62827,"Ogas, Joseph P.",34.20%,2.60%,,,39.50%,,,15.80%,,,7.90%,,,,,,,,,,,,,,,,
,,49000,Undergraduate Seminar,202320,Spring 2023,1,11823,"Hart, Orla M.",96.00%,,,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,52100,Comparative Genomics,202320,Spring 2023,1,22688,"Wisecaver, Jennifer H.",95.80%,,,,4.20%,,,,,,,,,,,,,,,,,,,,,,
,,56200,Gen Biochemistry II,202320,Spring 2023,1,11839,"Puthiyaveetil, Sujith",41.20%,,,,17.60%,,,20.60%,,,17.60%,,,,,,,,,,,,,2.90%,,,
,,60400,Intro To Grad Res In Biochm II,202320,Spring 2023,1,19298,"Briggs, Scott D.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61000,Eukaryotic Gene Expression,202320,Spring 2023,1,15944,"Briggs, Scott D.",61.90%,,,,19.00%,,9.50%,,,,,,,,,,,,4.80%,,,,,4.80%,,,
